pseudo_id;name_de;name_en;farbe_r;farbe_g;farbe_b
0;Allgemein Informationen;General information;102;102;102
1;Wirtschaft und Finanzen;Economy and finance;102;204;255
2;Bevölkerung und Migration;Population and migration;255;204;51
3;Gesundheit;Health;102;204;102
4;Bildung;Education;255;102;0
5;Arbeitsmarkt;Labour force;255;204;51
6;Lebensbedingungen;Living Conditions;255;153;0
7;Unternehmen, Produktion;Business, production;204;0;51
8;Land- und Forstwirtschaft;Agriculture and forestry;102;204;102
9;Außenhandel;External trade;51;102;204
10;Verkehr;Transport;51;102;204
11;Umwelt und Energie;Envorinment and energy;102;204;255
12;Wissenschaft, Forschung, Technologie;Science, research, technology;153;0;51
13;Kriminalität und Strafverfolgung;Crime and criminal justice;0;0;0
